unix,open,high,low,close,volume
1604448000,14041.58,14277.5,13520.87,14160.59,154723234.1
1604361600,13578.82,14083.76,13287.7,14041.58,101462580.5
1604275200,13762,13842.5,13220,13563.72,95833257.97
1604188800,13799.44,13907.47,13629.31,13762,34874088.99
1604102400,13569.42,14100,13420.97,13816.08,87557927.68
1604016000,13456.14,13675.56,13129.26,13562.13,121803115.1
1603929600,13275.82,13650,12993,13468.44,119801193.9
1603843200,13642.31,13864.89,12892,13274.73,141652846.7
1603756800,13065.1,13788,13057.09,13647.9,153439989.2
1603670400,13041.12,13250,12773.5,13066.73,74809586.66
1603584000,13115.18,13363.53,12903.74,13039.09,47704851.3
1603497600,12940.03,13182.83,12887.38,13122.73,37016902.98
1603411200,12983.26,13037.26,12729.82,12941.59,64661333.35
1603324800,12802.63,13208.25,12686.73,12983.26,120453002
1603238400,11921.33,13235,11899.1,12802.67,257251920.2
1603152000,11759.2,12059.94,11680,11921.11,69855765.33
1603065600,11518.58,11840,11409.94,11764.14,64231427.83
1602979200,11363.4,11526.34,11352.79,11519.97,12063351.91
1602892800,11331.88,11415.48,11264.01,11365.8,12779935.1
1602806400,11506.53,11548.65,11200,11321.86,48788436.34
1602720000,11430.49,11623.6,11250.01,11511.11,55994983.71
1602633600,11440.28,11555.1,11287.42,11428.84,43295311.81
1602547200,11539.42,11567.4,11314.53,11427.98,58259394.34
1602460800,11372.48,11731.7,11175.99,11535.98,81769653.97
1602374400,11300.97,11447.44,11272.11,11372.93,24766270.77
1602288000,11060.46,11496.06,11059.62,11301.2,36959108.5
1602201600,10927.02,11118.49,10826.4,11052,59187213.19
1602115200,10669.1,10957,10535.06,10925.2,76138165.11
1602028800,10602.31,10682.56,10547.71,10669.14,59323076.46
1601942400,10797.36,10801.86,10525,10606.33,50917756.85
1601856000,10666.16,10805.82,10620.71,10795,39056475.08
1601769600,10543.17,10699.88,10524.81,10669.63,11286071.11
1601683200,10571.6,10605.79,10500,10553.66,11976269.71
1601596800,10611.17,10667.53,10380,10578.54,88155824.34
1601510400,10780.83,10940.22,10437.08,10622.71,92187566.47
1601424000,10840,10847.5,10658.56,10778.22,46396170.42
1601337600,10681.41,10865,10636.66,10836.42,43664181.14
1601251200,10779.99,10950,10628.52,10689.48,53357294.39
1601164800,10731.09,10807.14,10593.58,10780.66,24653877.64
1601078400,10694.23,10830,10655.29,10729.09,27362573.15
1600992000,10738.46,10762.65,10553.14,10689.81,67845271.48
1600905600,10236.86,10795.53,10193.2,10744.02,72027037.84
1600819200,10525.72,10541.39,10138.3,10233.42,58446752.43
1600732800,10418.83,10573.05,10353.39,10534.31,50570993.33
1600646400,10921.53,10996.98,10286.56,10411.29,103571734.2
1600560000,11070.84,11079.25,10755.9,10923.5,35501566.12
1600473600,10935.49,11183.01,10890.53,11077.22,24960870.72
1600387200,10947.35,11040.18,10816.54,10931.2,48085522.32
1600300800,10950.15,11054,10739.23,10940.47,60453945.55
1600214400,10785,11100,10662.81,10951.54,90900408.53
1600128000,10671.4,10940.01,10611.17,10783.83,69627555.65
1600041600,10338.82,10765.03,10250.13,10675.15,78197955.26
1599955200,10446.4,10576.78,10214.9,10334.78,44699014.49
1599868800,10400.46,10482.42,10275,10443.33,26204819.64
1599782400,10341.38,10409.44,10200.5,10393.04,54519211.06
1599696000,10221.76,10495.75,10220,10342.59,105734274.8
1599609600,10126.01,10353.39,9981.38,10232.8,60089247.83
1599523200,10377.5,10446.18,9825.07,10123.96,106917873.1
1599436800,10258.43,10415.66,9880,10377.14,90541501.61
1599350400,10165.47,10353.39,10000,10260.17,52544914.13
