,date,open,high,low,close,volume,market cap,unix
816,Oct-31-2017,301.8562662,307.6122511,291.5148852,292.0248838,348357393.9,28945283605,1509379200
817,Nov-01-2017,292.630795,295.4415856,282.670603,286.3390745,634276516.1,27413165711,1509465600
818,Nov-02-2017,287.5655049,308.4636979,287.0081375,304.6886807,571846594.7,28453367209,1509552000
819,Nov-03-2017,305.9682102,305.9682102,295.9408669,300.5018306,434544870.8,28757277430,1509638400
820,Nov-04-2017,300.7473452,300.7846588,291.1075293,291.9331788,257067642.6,28371589622,1509724800
821,Nov-05-2017,292.4218273,306.6202961,290.3161737,300.3835505,335090813.2,28840828410,1509811200
822,Nov-06-2017,300.3650594,305.8582688,289.641898,294.915689,428230492.7,28316092345,1509897600
823,Nov-07-2017,294.5913023,319.5078229,293.5550479,309.8773842,484359469.9,28767349961,1509984000
824,Nov-08-2017,308.4246838,329.8032348,307.4499204,321.2067152,917221619.6,30339532542,1510070400
825,Nov-09-2017,321.5517794,324.2336958,294.7725196,298.7491821,703697237.9,29724495748,1510156800
826,Nov-10-2017,298.8126411,320.0762586,297.4316294,314.5576411,695953798.4,29274650548,1510243200
827,Nov-11-2017,314.5950026,321.2430499,299.3756835,310.4345885,1020074000,29539424256,1510329600
828,Nov-12-2017,310.5232528,332.0094982,310.1565649,317.8178378,1133187971,30114452510,1510416000
829,Nov-13-2017,317.8155978,339.8401688,317.8155978,337.4565837,830270714.1,31365185165,1510502400
830,Nov-14-2017,337.9545124,341.5198266,331.1658042,334.1519415,720922859.4,32186778902,1510588800
831,Nov-15-2017,334.2866663,335.913026,324.485745,330.2730286,548176795.9,31525712589,1510675200
832,Nov-16-2017,330.4527665,335.3469575,327.2496527,332.3320925,621229873.5,31697754485,1510761600
833,Nov-17-2017,331.3932697,349.1728393,327.019815,347.1581137,461121498.3,32052926414,1510848000
834,Nov-18-2017,346.5976607,368.9172692,344.5427572,353.3416088,841387434.9,33999518528,1510934400
835,Nov-19-2017,353.2476239,370.5921068,352.3510412,366.0929758,734244620.3,34546341842,1511020800
836,Nov-20-2017,365.8708703,370.8755825,350.9781767,360.6791814,786640210.9,35061580647,1511107200
837,Nov-21-2017,360.7748725,379.4475912,360.7748725,378.8306112,552785577.5,35118967529,1511193600
838,Nov-22-2017,379.2281447,426.461496,374.9127263,411.1851229,1036942609,38465990613,1511280000
839,Nov-23-2017,410.6821519,481.0401508,403.9298717,473.4966106,1601328974,41830223764,1511366400
840,Nov-24-2017,474.8844271,487.6591903,459.0453278,467.6857901,1699091824,45238399140,1511452800
841,Nov-25-2017,467.5792155,473.6061108,453.9059272,472.4219325,920569541.7,44252199649,1511539200
842,Nov-26-2017,472.6512566,494.821967,469.0356633,482.1265829,1031266084,46066005109,1511625600
843,Nov-27-2017,482.1388036,484.8409747,466.8261716,475.9032986,964453437,45733785539,1511712000
844,Nov-28-2017,476.6754843,524.3562851,427.2330015,427.2330015,1503331694,45919509873,1511798400
845,Nov-29-2017,431.5058624,465.2405866,403.0995851,447.8890083,1803905036,42118395764,1511884800
846,Nov-30-2017,446.6874668,473.4614627,428.9734818,465.688648,1074050665,43061985689,1511971200
847,Dec-01-2017,466.7018726,477.3283048,456.4811169,465.1956923,811518807.2,45016069969,1512057600
848,Dec-02-2017,465.176425,482.8853853,453.2364368,466.4838351,606111178.3,45245169270,1512144000
849,Dec-03-2017,466.9278263,475.1480959,452.6344888,469.8579927,769524499.7,44723231551,1512230400
850,Dec-04-2017,470.6727377,472.8076632,458.7792046,464.6695611,811234025.4,44887741236,1512316800
851,Dec-05-2017,463.4315008,464.6704704,420.398632,431.4522523,1224176037,42977169074,1512403200
852,Dec-06-2017,431.0715345,444.4410312,414.4857796,432.9734947,1593115519,40855487018,1512489600
853,Dec-07-2017,432.6769326,465.3156165,423.2949226,454.7134864,1678985025,42937653385,1512576000
854,Dec-08-2017,454.7343892,500.4158265,450.5754022,473.015527,1608920680,45956035403,1512662400
855,Dec-09-2017,474.1242537,474.5470486,425.8526515,437.6362808,1206536118,42798878052,1512748800
856,Dec-10-2017,439.0352449,514.7133524,439.0352449,514.7133524,1013030050,45318737563,1512835200
857,Dec-11-2017,513.4773106,651.3343417,501.743127,646.2644555,2565386485,54740981538,1512921600
858,Dec-12-2017,645.2283399,728.9809895,591.1264708,697.2883763,3869971708,63708860311,1513008000
859,Dec-13-2017,697.6168086,746.845674,664.1659626,695.3876536,3436838527,68355847805,1513094400
860,Dec-14-2017,695.2374776,696.4134884,628.7272319,683.2196677,2512477019,64801890996,1513180800
861,Dec-15-2017,683.9973466,713.451176,681.2712721,693.1872424,1626918788,67203520657,1513267200
862,Dec-16-2017,694.0047025,730.6289966,693.4058838,721.7022881,1699821487,69398928316,1513353600
863,Dec-17-2017,721.4648605,798.3628619,688.0105404,797.5246904,1943701503,70875513222,1513440000
864,Dec-18-2017,796.9211098,875.5386216,777.6117744,819.005602,3368178974,79289157662,1513526400
865,Dec-19-2017,819.8104871,851.2255459,742.130912,818.4093856,3379112781,78616230790,1513612800
866,Dec-20-2017,818.982567,908.9924199,778.4339273,813.2358856,2951074506,80515958863,1513699200
867,Dec-21-2017,813.4377701,822.1370427,516.1741879,667.5561375,3332311976,66878405856,1513785600
868,Dec-22-2017,672.6736638,782.5143954,672.6736638,708.3814096,3119926130,70817578837,1513872000
869,Dec-23-2017,711.7885347,749.2216928,594.0109146,667.4999392,1689896371,63393402512,1513958400
870,Dec-24-2017,671.1211722,829.0643945,671.1211722,764.8873338,1939200654,74943320790,1514044800
871,Dec-25-2017,763.7583538,813.499973,744.752694,812.2614393,1893280493,74551848893,1514131200
872,Dec-26-2017,779.3066746,818.7799919,711.4045204,765.8395208,1646914190,70745344912,1514217600
873,Dec-27-2017,764.8895401,766.7237107,700.8593405,734.7020144,1871469649,70215365166,1514304000
874,Dec-28-2017,736.2813458,777.5102698,732.8747407,753.8260507,1971599457,72879966160,1514390400
875,Dec-29-2017,754.395698,779.6870927,666.2011373,699.268858,2312434879,68298391152,1514476800
876,Dec-30-2017,695.3329301,787.1163189,688.0526192,756.9122929,2140119651,71170673038,1514563200
877,Dec-31-2017,757.4074676,810.5874645,733.3384395,772.5061182,1944116506,73118499628,1514649600
878,Jan-01-2018,774.7239453,939.8673388,774.7239453,881.3646216,3719417147,84336939627,1514736000
879,Jan-02-2018,884.3172432,972.7341695,861.5163277,961.917294,4039164912,87505572248,1514822400
880,Jan-03-2018,960.6977037,1169.402561,921.2222297,948.7711466,4891062684,93010942541,1514908800
881,Jan-04-2018,947.3851113,1031.859349,937.7461258,967.7084946,5453499061,97900098322,1514995200
882,Jan-05-2018,970.141502,1011.988589,959.1230998,1004.694291,4515989050,98878633921,1515081600
883,Jan-06-2018,1003.325116,1111.24268,1003.325116,1108.38938,4293596010,1.08026E+11,1515168000
884,Jan-07-2018,1118.410763,1469.071789,1044.9034,1200.982949,6736265501,1.21351E+11,1515254400
885,Jan-08-2018,1198.36305,1489.064909,1169.247366,1227.355267,7207974139,1.18209E+11,1515340800
886,Jan-09-2018,1226.395325,1527.514576,1207.010848,1316.241353,9426012772,1.42809E+11,1515427200
887,Jan-10-2018,1318.954092,1422.592535,1193.430968,1218.569811,8114895944,1.21399E+11,1515513600
888,Jan-11-2018,1229.485118,1487.078644,1173.817226,1356.513746,5728065518,1.18407E+11,1515600000
889,Jan-12-2018,1352.23615,1570.1262,1349.752411,1456.138411,5173840246,1.29555E+11,1515686400
890,Jan-13-2018,1456.083553,1469.17895,1317.952148,1404.053681,5313821781,1.29538E+11,1515772800
891,Jan-14-2018,1404.384052,1521.703003,1322.281207,1324.134949,4524687935,1.28941E+11,1515859200
892,Jan-15-2018,1325.911211,1384.761254,886.8578161,1067.547524,5357149619,1.08739E+11,1515945600
893,Jan-16-2018,1058.820037,1208.002142,787.687017,1028.946529,7403911486,91846696273,1516032000
894,Jan-17-2018,1033.767215,1105.051676,968.5650456,1034.355716,7327923481,1.00307E+11,1516118400
