,long_term_period,bb_period,multiple,atr_period,win_rate,equity,risk/reward
4603,80.0,9.0,1.3000000000000003,12.0,0.5714285714285714,1.5730178557211767,1.6619130068134087
4604,80.0,9.0,1.3000000000000003,14.0,0.5714285714285714,1.5722197122799528,1.6491372947025544
4605,80.0,9.0,1.3000000000000003,16.0,0.5714285714285714,1.5671259450830461,1.6489205880626654
4606,80.0,9.0,1.3000000000000003,18.0,0.5714285714285714,1.569170491254052,1.6441161632013843
4607,80.0,9.0,1.3000000000000003,20.0,0.6,1.6278841318463133,1.5984484847416685
5841,90.0,7.0,1.4000000000000004,4.0,0.59375,1.5213380438177269,1.6120943330246529
5844,90.0,7.0,1.4000000000000004,10.0,0.5846153846153846,1.5265534009864778,1.5825781075462104
5845,90.0,7.0,1.4000000000000004,12.0,0.578125,1.5184330858642057,1.6102188078093829
5846,90.0,7.0,1.4000000000000004,14.0,0.578125,1.5174985361880342,1.5799099473945872
5914,90.0,8.0,1.2000000000000002,6.0,0.575,1.6192643743424995,1.514189553817929
5915,90.0,8.0,1.2000000000000002,8.0,0.5822784810126582,1.6490382364133407,1.5095334677318175
5922,90.0,8.0,1.3000000000000003,4.0,0.5833333333333334,1.7193820227348278,1.6157955934218198
5923,90.0,8.0,1.3000000000000003,6.0,0.5694444444444444,1.65886559465659,1.6801712783583804
5924,90.0,8.0,1.3000000000000003,8.0,0.5774647887323944,1.6889143249355458,1.6727214579880307
5925,90.0,8.0,1.3000000000000003,10.0,0.5915492957746479,1.7500066129056364,1.6029920148641668
5926,90.0,8.0,1.3000000000000003,12.0,0.5857142857142857,1.736878705255224,1.6130758800387373
5927,90.0,8.0,1.3000000000000003,14.0,0.5942028985507246,1.7353780858312906,1.5745598182466571
5928,90.0,8.0,1.3000000000000003,16.0,0.5882352941176471,1.6574396026333378,1.5840741454529856
5929,90.0,8.0,1.3000000000000003,18.0,0.5882352941176471,1.662807830480473,1.5708543295962356
5930,90.0,8.0,1.3000000000000003,20.0,0.5970149253731343,1.6843812615386016,1.5638043733634037
6014,90.0,9.0,1.3000000000000003,8.0,0.5573770491803278,1.6016067710876778,1.7262295389471138
6015,90.0,9.0,1.3000000000000003,10.0,0.5573770491803278,1.5604911969727482,1.6923662941793274
6018,90.0,9.0,1.3000000000000003,16.0,0.559322033898305,1.5481006649234479,1.6543800947247078
6019,90.0,9.0,1.3000000000000003,18.0,0.559322033898305,1.5513046634741,1.6453554450733314
6020,90.0,9.0,1.3000000000000003,20.0,0.5689655172413793,1.5841946087240224,1.627943711448819
6095,90.0,10.0,1.2000000000000002,8.0,0.5666666666666667,1.5106106955751026,1.588811933038447
6824,90.0,18.0,1.3000000000000003,8.0,0.5714285714285714,1.5000649432291857,2.1148430053292766
6825,90.0,18.0,1.3000000000000003,10.0,0.5714285714285714,1.5081473555133484,2.1474424466785993
6828,90.0,18.0,1.3000000000000003,16.0,0.5882352941176471,1.513908482054767,2.011622453846375
6829,90.0,18.0,1.3000000000000003,18.0,0.5882352941176471,1.5122757306470112,2.01366642671531
6912,90.0,19.0,1.3000000000000003,4.0,0.5625,1.5061248613028027,2.100023531953986
7254,100.0,7.0,1.4000000000000004,4.0,0.609375,1.584757359306821,1.608621828759064
7256,100.0,7.0,1.4000000000000004,8.0,0.59375,1.5175319684289459,1.6098267891903724
7257,100.0,7.0,1.4000000000000004,10.0,0.6,1.5862345850863773,1.5870565968603412
7258,100.0,7.0,1.4000000000000004,12.0,0.59375,1.578877419585441,1.611822854636418
7259,100.0,7.0,1.4000000000000004,14.0,0.59375,1.578290339694849,1.58033299060249
7260,100.0,7.0,1.4000000000000004,16.0,0.5873015873015873,1.5024207048109839,1.560014883230041
7261,100.0,7.0,1.4000000000000004,18.0,0.5873015873015873,1.501012007300824,1.5682106345376252
7262,100.0,7.0,1.4000000000000004,20.0,0.5873015873015873,1.5034115550093388,1.5723163784905247
7335,100.0,8.0,1.3000000000000003,4.0,0.5915492957746479,1.7278739208261134,1.5889987262377812
7336,100.0,8.0,1.3000000000000003,6.0,0.5833333333333334,1.679844528334246,1.6231234251328541
7337,100.0,8.0,1.3000000000000003,8.0,0.5774647887323944,1.669336079321011,1.6452221723526326
7338,100.0,8.0,1.3000000000000003,10.0,0.5915492957746479,1.7281946598957727,1.578172111061132
7339,100.0,8.0,1.3000000000000003,12.0,0.5915492957746479,1.747185218932287,1.575866447244131
7340,100.0,8.0,1.3000000000000003,14.0,0.6,1.7461203812820039,1.5366947874534793
