https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume USD
1592042400000.0,2020-06-13 10:00:00,ETH/USD,236.91,237.08,235.68,235.85,31.72471821072716,7482.27479
1592038800000.0,2020-06-13 09:00:00,ETH/USD,236.75,237.25,236.51,236.91,345.794528006416,81922.18163
1592035200000.0,2020-06-13 08:00:00,ETH/USD,236.64,236.77,236.01,236.75,21.999662302006335,5208.42005
1592031600000.0,2020-06-13 07:00:00,ETH/USD,236.31,236.78,236.09,236.64,17.349542089249493,4105.59564
1592028000000.0,2020-06-13 06:00:00,ETH/USD,235.9,236.42,235.49,236.31,21.8206947653506,5156.44838
1592024400000.0,2020-06-13 05:00:00,ETH/USD,235.86,235.91,235.23,235.9,98.27057672742687,23182.02905
1592020800000.0,2020-06-13 04:00:00,ETH/USD,235.63,235.86,234.58,235.86,440.60438077673194,103920.94925
1592017200000.0,2020-06-13 03:00:00,ETH/USD,236.34,236.5,235.51,235.63,110.36448448839282,26005.18348
1592013600000.0,2020-06-13 02:00:00,ETH/USD,236.72,236.72,235.77,236.34,137.65264318354912,32532.82569
1592010000000.0,2020-06-13 01:00:00,ETH/USD,236.58,237.23,235.67,236.72,174.64621079756677,41342.25102
1592006400000.0,2020-06-13 00:00:00,ETH/USD,237.56,237.86,236.22,236.58,215.11677039479244,50892.32554
1592002800000.0,2020-06-12 23:00:00,ETH/USD,237.6,237.92,236.64,237.6,392.9893861952862,93374.27816
1591999200000.0,2020-06-12 22:00:00,ETH/USD,237.17,238.07,236.97,237.6,126.11906346801348,29965.88948
1591995600000.0,2020-06-12 21:00:00,ETH/USD,237.57,237.78,236.87,237.17,11.456052957793988,2717.03208
1591992000000.0,2020-06-12 20:00:00,ETH/USD,236.81,238.33,236.44,237.57,166.96858488024583,39666.72671
1591988400000.0,2020-06-12 19:00:00,ETH/USD,236.36,237.19,236.04,236.78,144.18008151026268,34138.9597
1591984800000.0,2020-06-12 18:00:00,ETH/USD,235.07,236.46,234.85,236.16,70.96425825711383,16758.91923
1591981200000.0,2020-06-12 17:00:00,ETH/USD,236.18,236.26,233.85,235.07,322.50814646700985,75811.98999
1591977600000.0,2020-06-12 16:00:00,ETH/USD,236.25,237.42,235.93,236.16,355.93796337228997,84058.30943
1591974000000.0,2020-06-12 15:00:00,ETH/USD,236.26,236.7,235.51,236.25,643.8158598518519,152101.49689
1591970400000.0,2020-06-12 14:00:00,ETH/USD,239.06,239.37,236.27,236.28,251.1504450651769,59341.82716
1591966800000.0,2020-06-12 13:00:00,ETH/USD,236.62,239.06,236.38,239.06,258.46075788504976,61787.62878
1591963200000.0,2020-06-12 12:00:00,ETH/USD,237.35,237.84,236.08,236.62,433.97559661059927,102687.30567
1591959600000.0,2020-06-12 11:00:00,ETH/USD,236.18,237.69,236.17,237.35,99.9240626500948,23716.97627
1591956000000.0,2020-06-12 10:00:00,ETH/USD,236.0,236.97,235.96,236.17,119.83412546047339,28301.22541
1591952400000.0,2020-06-12 09:00:00,ETH/USD,236.95,237.04,235.43,236.08,125.5688060403253,29644.28373
1591948800000.0,2020-06-12 08:00:00,ETH/USD,235.22,237.45,235.22,236.94,1572.067520089474,372485.67821
1591945200000.0,2020-06-12 07:00:00,ETH/USD,233.59,236.31,233.41,235.22,248.6277026188249,58482.20821
1591941600000.0,2020-06-12 06:00:00,ETH/USD,233.88,234.71,233.37,233.59,388.14301815146194,90666.32761
1591938000000.0,2020-06-12 05:00:00,ETH/USD,232.48,234.03,232.19,233.88,258.83125966307506,60535.45501
1591934400000.0,2020-06-12 04:00:00,ETH/USD,233.2,234.11,232.33,232.48,123.96854378871302,28820.20706
1591930800000.0,2020-06-12 03:00:00,ETH/USD,232.89,234.04,232.89,233.2,245.54352427101205,57260.74986
1591927200000.0,2020-06-12 02:00:00,ETH/USD,232.47,232.96,232.1,232.89,122.5869920133969,28549.28457
1591923600000.0,2020-06-12 01:00:00,ETH/USD,231.31,232.86,230.95,232.47,330.7143424958059,76881.1632
1591920000000.0,2020-06-12 00:00:00,ETH/USD,230.25,232.01,228.06,231.15,656.6576258706467,151786.41022
1591916400000.0,2020-06-11 23:00:00,ETH/USD,231.66,232.04,229.91,230.25,631.1552229750272,145323.49009
1591912800000.0,2020-06-11 22:00:00,ETH/USD,233.33,233.33,230.93,231.66,1027.9867327548995,238143.40651
1591909200000.0,2020-06-11 21:00:00,ETH/USD,232.49,233.33,231.71,233.33,320.8797397248532,74870.86967
1591905600000.0,2020-06-11 20:00:00,ETH/USD,232.23,232.6,228.86,232.49,2400.2635564970537,558037.27425
1591902000000.0,2020-06-11 19:00:00,ETH/USD,233.86,233.86,231.63,232.23,102.15767411617793,23724.07666
1591898400000.0,2020-06-11 18:00:00,ETH/USD,234.79,234.95,232.86,233.86,185.80832575044897,43453.13506
1591894800000.0,2020-06-11 17:00:00,ETH/USD,225.75,234.97,225.63,234.79,6900.662851441713,1620206.63089
1591891200000.0,2020-06-11 16:00:00,ETH/USD,238.59,239.48,225.57,225.75,3405.0000920930233,768678.77079
1591887600000.0,2020-06-11 15:00:00,ETH/USD,240.78,240.79,237.59,238.55,479.280971829805,114332.47583
1591884000000.0,2020-06-11 14:00:00,ETH/USD,240.66,241.85,239.92,240.79,385.8546725362349,92909.9466
1591880400000.0,2020-06-11 13:00:00,ETH/USD,243.55,243.6,239.11,240.66,2525.4324953045793,607770.58432
1591876800000.0,2020-06-11 12:00:00,ETH/USD,245.27,245.3,242.59,243.55,299.5152897146376,72946.94881
1591873200000.0,2020-06-11 11:00:00,ETH/USD,246.15,246.15,243.84,245.27,267.8650871284707,65699.26992
1591869600000.0,2020-06-11 10:00:00,ETH/USD,245.74,246.24,244.97,246.15,218.0387199674995,53670.23092
1591866000000.0,2020-06-11 09:00:00,ETH/USD,246.53,246.72,244.91,245.74,128.46693598925694,31569.46485
1591862400000.0,2020-06-11 08:00:00,ETH/USD,246.13,246.85,245.91,246.53,33.0136695331197,8138.85995
1591858800000.0,2020-06-11 07:00:00,ETH/USD,247.0,247.04,245.9,246.13,99.16537943363264,24407.57484
1591855200000.0,2020-06-11 06:00:00,ETH/USD,247.8,248.14,245.16,247.0,169.88495558704452,41961.58403
1591851600000.0,2020-06-11 05:00:00,ETH/USD,248.48,248.49,247.67,247.8,66.49704935431801,16477.96883
1591848000000.0,2020-06-11 04:00:00,ETH/USD,248.23,248.94,247.92,248.48,133.40923567289119,33149.52688
