https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRP,Volume USD
1621382400000.0,2021-05-19 00:00:00,XRP/USD,1.5904,1.6477,0.8566,1.0583,159191467.66238308,168472330.2271
1621296000000.0,2021-05-18 00:00:00,XRP/USD,1.4962,1.706075,1.473125,1.5904,48736311.33697498,77510229.550325
1621209600000.0,2021-05-17 00:00:00,XRP/USD,1.449925,1.565025,1.32515,1.4962,42835756.68077463,64090859.145775
1621123200000.0,2021-05-16 00:00:00,XRP/USD,1.49165,1.612,1.339025,1.449925,33506751.034674212,48582275.99395
1621036800000.0,2021-05-15 00:00:00,XRP/USD,1.40165,1.58455,1.322825,1.49165,30153060.24130996,44977812.30895
1620950400000.0,2021-05-14 00:00:00,XRP/USD,1.3641,1.451225,1.323575,1.40165,18314548.523418825,25670586.93785
1620864000000.0,2021-05-13 00:00:00,XRP/USD,1.26785,1.3902,1.177525,1.3641,51099357.91377097,69704634.130175
1620777600000.0,2021-05-12 00:00:00,XRP/USD,1.480475,1.549075,1.226975,1.26785,39617166.81630319,50228624.94805
1620691200000.0,2021-05-11 00:00:00,XRP/USD,1.3913,1.4896,1.3557,1.480475,32600418.420490045,48264104.461075
1620604800000.0,2021-05-10 00:00:00,XRP/USD,1.535825,1.628325,1.223625,1.3913,41892604.11302379,58285180.10245
1620518400000.0,2021-05-09 00:00:00,XRP/USD,1.564575,1.599775,1.4274,1.535825,16018010.33055524,24600860.715925
1620432000000.0,2021-05-08 00:00:00,XRP/USD,1.58195,1.628625,1.543,1.564575,10442960.143489445,16338794.3665
1620345600000.0,2021-05-07 00:00:00,XRP/USD,1.60425,1.696275,1.505125,1.58195,19742495.319099844,31231640.47005
1620259200000.0,2021-05-06 00:00:00,XRP/USD,1.616125,1.769125,1.5224,1.60425,39877751.13116722,63973882.252175
1620172800000.0,2021-05-05 00:00:00,XRP/USD,1.38795,1.64,1.366425,1.616125,43514142.2532137,70324293.148975
1620086400000.0,2021-05-04 00:00:00,XRP/USD,1.5566,1.5591,1.322,1.38795,36326835.01320293,50419830.656575
1620000000000.0,2021-05-03 00:00:00,XRP/USD,1.562575,1.6238,1.498875,1.5566,21735355.3003983,33833254.0606
1619913600000.0,2021-05-02 00:00:00,XRP/USD,1.65325,1.659725,1.525425,1.562575,20453836.113546547,31960652.965125
1619827200000.0,2021-05-01 00:00:00,XRP/USD,1.600925,1.667175,1.5253,1.65325,14724887.244261304,24343919.836575
1619740800000.0,2021-04-30 00:00:00,XRP/USD,1.39945,1.6402,1.37625,1.60075,18565659.083226614,29718978.777475
1619654400000.0,2021-04-29 00:00:00,XRP/USD,1.358,1.421275,1.327675,1.39945,12540681.81324806,17550057.16355
1619568000000.0,2021-04-28 00:00:00,XRP/USD,1.4029,1.449,1.2832,1.358,7166962.096041973,9732734.526425
1619481600000.0,2021-04-27 00:00:00,XRP/USD,1.3641,1.46385,1.331725,1.4029,13227228.688181626,18556479.12665
1619395200000.0,2021-04-26 00:00:00,XRP/USD,1.03595,1.3748,1.0135,1.3641,17226116.075874202,23498144.9391
1619308800000.0,2021-04-25 00:00:00,XRP/USD,1.0499,1.155175,0.944725,1.03595,11266681.234350113,11671718.424725
1619222400000.0,2021-04-24 00:00:00,XRP/USD,1.17125,1.172575,1.021,1.0499,19799577.196637772,20787576.09875
1619136000000.0,2021-04-23 00:00:00,XRP/USD,1.1545,1.196425,0.848325,1.17125,31875802.51459979,37334533.695225
1619049600000.0,2021-04-22 00:00:00,XRP/USD,1.289,1.419625,1.091025,1.1545,39401100.941165,45488571.036575
1618963200000.0,2021-04-21 00:00:00,XRP/USD,1.387225,1.46535,1.2771,1.288825,13390814.257017048,17258416.1848
1618876800000.0,2021-04-20 00:00:00,XRP/USD,1.310725,1.474425,1.1738,1.387225,20945003.911225647,29055433.05075
1618790400000.0,2021-04-19 00:00:00,XRP/USD,1.41075,1.534475,1.248875,1.310725,33230585.109805644,43556158.66805
1618704000000.0,2021-04-18 00:00:00,XRP/USD,1.54015,1.5649,1.119925,1.41075,64393235.696207695,90842757.258425
1618617600000.0,2021-04-17 00:00:00,XRP/USD,1.552525,1.7445,1.5255,1.54015,26931497.38208941,41478545.693025
1618531200000.0,2021-04-16 00:00:00,XRP/USD,1.75925,1.825225,1.41675,1.552525,41444021.00330108,64342878.70815
1618444800000.0,2021-04-15 00:00:00,XRP/USD,1.8349,1.891575,1.650525,1.75925,21378345.92411539,37609855.067
1618358400000.0,2021-04-14 00:00:00,XRP/USD,1.795675,1.968575,1.551025,1.8349,35984435.36537413,66027840.451925
1618272000000.0,2021-04-13 00:00:00,XRP/USD,1.469075,1.89385,1.4189,1.795675,28502602.110766146,51181410.04525
1618185600000.0,2021-04-12 00:00:00,XRP/USD,1.351525,1.474275,1.317175,1.469075,12323152.795857938,18103635.693575
1618099200000.0,2021-04-11 00:00:00,XRP/USD,1.373525,1.497425,1.3022,1.351525,22008256.30099332,29744708.5972
